name,cost,bad_cost,screen_size,screen_dimensions,matrix_type
Xiaomi Watch S1 Pro,169 990 ₸,169 990 ₸,1.47,480 x 480,AMOLED
Amazfit A2168,99 990 ₸,104 990 ₸,1.75,390 x 450,AMOLED
Amazfit A2168,104 900 ₸,109 990 ₸,1.75,390 x 450,AMOLED
Apple Watch Series 8,289 990 ₸,299 990 ₸,1.9,396 x 484,Retina
Amazfit T-Rex 2 A2170,109 990 ₸,119 900 ₸,1.39,454 x 454,AMOLED
Apple Watch Ultra,499 890 ₸,519 990 ₸,,410 x 502,"Retina, OLED, LTPO"
Apple Watch SE (2nd Gen) A2723,194 990 ₸,194 990 ₸,,368 x 448,"Retina, OLED, LTPO"
Apple Watch Ultra,499 890 ₸,519 990 ₸,,410 x 502,"Retina, OLED, LTPO"
Apple Watch Series 8,289 990 ₸,299 990 ₸,1.9,396 x 484,Retina
JET Friend,14 990 ₸,15 990 ₸,1.44,128 x 128,TFT
JET View 4G,27 990 ₸,29 900 ₸,1.44,240 x 240,TFT
Apple Watch SE (2nd Gen) A2722,174 990 ₸,174 990 ₸,,324 x 394,"Retina, OLED, LTPO"
JET View 4G,27 990 ₸,29 900 ₸,1.44,240 x 240,TFT
JET Peppa Pig,21 990 ₸,23 900 ₸,1.2,240 x 240,TFT
Apple Watch SE (2nd Gen) A2722,174 990 ₸,174 990 ₸,,324 x 394,"Retina, OLED, LTPO"
JET Tiny,21 990 ₸,23 900 ₸,1.2,240 x 240,TFT
JET Tiny,21 990 ₸,23 900 ₸,1.2,240 x 240,TFT
Amazfit A2168,94 900 ₸,99 900 ₸,1.75,390 x 450,AMOLED
Apple Watch Ultra,499 890 ₸,519 990 ₸,,410 x 502,"Retina, OLED, LTPO"
Amazfit A2166,104 900 ₸,114 900 ₸,1.43,466 x 466,AMOLED
Amazfit GTS 4 mini A2176,49 990 ₸,54 990 ₸,1.65,336 х 384,AMOLED
Samsung Galaxy Watch4,99 990 ₸,99 990 ₸,1.2,396 x 396,Super AMOLED
